Date,Open,High,Low,Close,Volume,Market Cap
"Sep 30, 2017",5.71,6.21,5.65,5.82,"12,114,700","645,070,000"
"Sep 29, 2017",5.99,6.01,5.44,5.70,"8,932,120","676,183,000"
"Sep 28, 2017",6.34,6.35,5.98,5.99,"9,145,610","715,513,000"
"Sep 27, 2017",6.13,6.36,5.98,6.32,"11,109,500","691,191,000"
"Sep 26, 2017",6.14,6.27,6.05,6.13,"9,352,180","692,649,000"
"Sep 25, 2017",5.76,6.22,5.71,6.15,"8,536,390","648,759,000"
"Sep 24, 2017",5.96,5.97,5.67,5.75,"6,273,950","671,135,000"
"Sep 23, 2017",5.73,6.11,5.70,5.98,"7,668,300","645,080,000"
"Sep 22, 2017",5.38,6.09,5.37,5.75,"11,819,200","605,616,000"
"Sep 21, 2017",6.04,6.06,5.24,5.39,"11,885,300","679,418,000"
"Sep 20, 2017",6.19,6.33,6.06,6.06,"10,364,900","696,190,000"
"Sep 19, 2017",6.73,6.82,5.98,6.20,"11,091,300","756,495,000"
"Sep 18, 2017",5.55,6.78,5.55,6.74,"13,612,300","624,156,000"
"Sep 17, 2017",5.55,5.69,5.05,5.57,"8,040,870","622,974,000"
"Sep 16, 2017",5.58,5.82,5.15,5.56,"11,270,000","626,333,000"
"Sep 15, 2017",4.47,5.76,4.05,5.58,"28,816,500","501,457,000"
"Sep 14, 2017",6.55,6.66,4.31,4.36,"22,776,700","734,755,000"
"Sep 13, 2017",7.02,7.06,6.25,6.57,"17,763,300","787,616,000"
"Sep 12, 2017",6.75,7.25,6.70,7.02,"22,441,800","756,698,000"
"Sep 11, 2017",6.56,6.92,6.53,6.70,"14,443,300","735,418,000"
"Sep 10, 2017",6.91,6.93,6.18,6.57,"13,946,200","773,807,000"
"Sep 09, 2017",6.92,7.10,6.53,6.90,"13,627,500","775,342,000"
"Sep 08, 2017",7.48,8.04,6.38,6.91,"38,000,900","836,843,000"
"Sep 07, 2017",6.94,7.61,6.69,7.48,"28,437,300","776,071,000"
"Sep 06, 2017",6.10,7.03,6.08,6.96,"27,895,300","682,025,000"
"Sep 05, 2017",5.86,6.21,5.10,6.08,"30,894,900","655,141,000"
"Sep 04, 2017",7.05,7.05,5.07,5.86,"30,177,000","788,396,000"
"Sep 03, 2017",6.74,7.25,6.28,7.08,"18,028,700","752,985,000"
"Sep 02, 2017",7.40,7.43,6.36,6.72,"27,494,000","826,520,000"
"Sep 01, 2017",7.16,8.21,7.16,7.41,"60,253,600","799,062,000"
"Aug 31, 2017",5.99,7.16,5.92,7.09,"43,903,100","668,790,000"
"Aug 30, 2017",6.03,6.68,5.36,5.95,"45,880,600","673,037,000"
"Aug 29, 2017",6.36,6.60,5.66,6.03,"42,990,100","709,701,000"
"Aug 28, 2017",6.86,7.04,5.94,6.31,"50,753,000","764,780,000"
"Aug 27, 2017",5.75,7.78,5.75,6.86,"120,069,000","641,195,000"
"Aug 26, 2017",4.31,5.90,4.30,5.65,"78,424,100","480,485,000"
"Aug 25, 2017",3.67,4.58,3.65,4.32,"34,464,300","408,946,000"
"Aug 24, 2017",3.04,4.10,3.03,3.67,"39,306,300","338,477,000"
"Aug 23, 2017",2.90,3.20,2.81,3.05,"15,018,100","322,857,000"
"Aug 22, 2017",2.73,3.04,2.55,2.91,"14,401,100","303,939,000"
"Aug 21, 2017",3.44,3.48,2.63,2.71,"29,155,700","382,390,000"
"Aug 20, 2017",2.96,3.98,2.47,3.40,"47,982,900","329,010,000"
"Aug 19, 2017",2.01,2.88,1.91,2.85,"7,596,650","223,846,000"
"Aug 18, 2017",2.08,2.11,1.97,2.01,"4,453,010","230,573,000"
