Date,Open,High,Low,Close,Volume,Market Cap
"Aug 04, 2017",28.69,29.68,28.32,28.32,"545,456","156,776,000"
"Aug 03, 2017",29.18,29.57,28.15,28.58,"626,260","159,211,000"
"Aug 02, 2017",29.26,31.12,28.70,29.29,"692,111","159,476,000"
"Aug 01, 2017",28.98,31.45,26.67,29.35,"1,189,560","157,743,000"
"Jul 31, 2017",26.29,29.84,25.26,28.73,"1,306,050","142,923,000"
"Jul 30, 2017",30.33,31.49,26.27,26.30,"1,908,450","164,663,000"
"Jul 29, 2017",23.18,30.65,22.59,30.02,"2,558,920","125,663,000"
"Jul 28, 2017",25.25,25.89,21.72,23.20,"1,466,680","136,730,000"
"Jul 27, 2017",25.89,25.97,24.49,25.17,"444,541","140,044,000"
"Jul 26, 2017",25.76,26.57,23.45,25.82,"519,526","139,150,000"
"Jul 25, 2017",28.27,29.64,23.59,25.90,"1,679,880","152,478,000"
"Jul 24, 2017",28.14,29.23,27.11,28.41,"853,258","151,585,000"
"Jul 23, 2017",30.11,30.69,25.74,28.48,"828,897","161,983,000"
"Jul 22, 2017",26.78,30.28,26.60,30.02,"1,070,060","143,869,000"
"Jul 21, 2017",26.78,28.92,25.86,26.87,"720,384","143,707,000"
"Jul 20, 2017",23.06,27.91,23.06,26.85,"1,274,350","123,563,000"
"Jul 19, 2017",24.91,25.92,22.96,23.30,"813,883","133,317,000"
"Jul 18, 2017",24.62,26.30,22.77,24.72,"1,384,330","131,571,000"
"Jul 17, 2017",18.80,24.66,18.80,24.42,"1,098,540","100,370,000"
"Jul 16, 2017",19.92,21.05,17.51,19.13,"884,628","106,193,000"
"Jul 15, 2017",22.37,22.84,19.04,20.21,"788,266","119,067,000"
"Jul 14, 2017",25.61,25.67,21.18,22.55,"1,280,400","136,178,000"
"Jul 13, 2017",28.26,28.71,25.13,25.67,"806,704","150,033,000"
"Jul 12, 2017",25.44,28.49,23.02,28.19,"1,542,700","134,895,000"
"Jul 11, 2017",24.57,31.31,24.57,25.44,"2,338,340","130,152,000"
"Jul 10, 2017",33.22,33.95,24.00,24.58,"2,196,480","175,724,000"
"Jul 09, 2017",36.57,36.96,32.73,33.11,"2,005,270","193,186,000"
"Jul 08, 2017",29.81,37.63,29.48,36.88,"2,927,310","157,260,000"
"Jul 07, 2017",35.19,36.99,29.62,29.89,"1,441,280","185,385,000"
"Jul 06, 2017",37.27,37.27,34.90,35.16,"905,811","196,079,000"
"Jul 05, 2017",36.32,39.35,34.00,37.33,"3,216,940","190,855,000"
"Jul 04, 2017",31.81,36.89,31.81,36.26,"1,909,980","166,912,000"
"Jul 03, 2017",29.73,32.63,28.73,31.86,"1,183,960","155,746,000"
"Jul 02, 2017",29.34,30.70,27.48,29.80,"1,261,070","153,510,000"
"Jul 01, 2017",32.35,34.87,27.63,29.21,"2,355,220","169,093,000"
"Jun 30, 2017",34.27,34.52,31.69,32.26,"1,922,690","178,839,000"
"Jun 29, 2017",36.02,37.10,33.06,34.20,"1,066,580","187,711,000"
"Jun 28, 2017",36.62,37.37,34.23,36.09,"1,453,690","190,554,000"
"Jun 27, 2017",35.26,36.26,29.13,36.26,"2,134,180","183,242,000"
"Jun 26, 2017",38.66,40.86,29.57,35.26,"3,233,030","200,625,000"
"Jun 25, 2017",43.14,43.44,35.90,38.81,"2,068,440","223,596,000"
"Jun 24, 2017",46.17,48.53,41.35,43.29,"2,074,380","238,976,000"
"Jun 23, 2017",42.82,47.34,42.44,45.55,"3,936,480","221,303,000"
"Jun 22, 2017",36.87,44.80,36.74,43.12,"5,629,680","190,323,000"
"Jun 21, 2017",35.68,38.74,34.61,37.04,"2,080,240","183,928,000"
"Jun 20, 2017",40.18,40.61,34.39,35.71,"3,106,890","206,818,000"
"Jun 19, 2017",42.08,42.08,38.76,40.05,"5,853,420","216,323,000"
"Jun 18, 2017",32.03,45.72,31.79,41.95,"11,185,200","164,444,000"
"Jun 17, 2017",32.51,32.51,30.88,31.83,"1,336,480","166,673,000"
"Jun 16, 2017",30.16,32.95,28.52,32.57,"1,267,190","154,382,000"
"Jun 15, 2017",31.06,31.71,25.57,30.18,"1,402,140","158,782,000"
"Jun 14, 2017",36.74,37.57,30.21,31.22,"1,413,710","187,546,000"
"Jun 13, 2017",33.42,37.54,33.04,36.87,"2,086,310","170,407,000"
"Jun 12, 2017",40.86,43.04,32.07,33.73,"3,761,090","208,041,000"
"Jun 11, 2017",41.05,43.99,36.87,41.05,"5,497,050","208,689,000"
"Jun 10, 2017",42.44,45.04,37.41,41.08,"5,631,520","215,444,000"
"Jun 09, 2017",34.61,42.12,34.15,42.12,"4,390,150","175,431,000"
"Jun 08, 2017",32.77,35.74,31.86,34.66,"2,388,670","165,901,000"
"Jun 07, 2017",34.61,38.93,32.22,32.62,"3,270,310","174,967,000"
"Jun 06, 2017",35.03,36.29,30.97,34.58,"2,657,680","176,868,000"
"Jun 05, 2017",32.14,35.39,30.22,35.05,"2,868,100","162,002,000"
"Jun 04, 2017",35.26,35.30,28.87,32.10,"3,468,980","177,458,000"
"Jun 03, 2017",30.69,37.90,29.44,35.21,"6,865,010","154,295,000"
"Jun 02, 2017",25.00,31.29,24.79,30.70,"3,739,400","125,482,000"
"Jun 01, 2017",21.98,26.38,21.71,24.95,"2,886,770","110,146,000"
"May 31, 2017",20.38,22.45,19.98,21.80,"995,100","101,976,000"
"May 30, 2017",20.86,22.95,19.97,20.30,"1,323,570","104,238,000"
"May 29, 2017",20.01,21.31,19.38,20.83,"781,367","99,860,900"
"May 28, 2017",19.02,21.95,18.90,20.04,"963,530","94,770,500"
"May 27, 2017",21.47,21.83,16.61,18.90,"1,063,380","106,838,000"
"May 26, 2017",21.90,26.09,19.44,21.40,"1,221,450","108,815,000"
"May 25, 2017",24.04,27.19,21.35,21.92,"1,814,930","119,296,000"
"May 24, 2017",22.58,27.92,22.58,24.37,"3,857,870","111,877,000"
"May 23, 2017",19.90,22.85,19.90,22.31,"1,827,550","98,437,000"
"May 22, 2017",20.40,21.45,18.24,20.05,"2,165,250","100,785,000"
"May 21, 2017",20.22,21.37,20.12,20.33,"1,269,580","99,768,100"
"May 20, 2017",19.80,21.55,19.62,20.25,"1,158,210","97,566,500"
"May 19, 2017",20.95,21.10,18.73,20.01,"1,416,190","103,110,000"
"May 18, 2017",21.42,23.21,17.74,21.10,"3,308,570","105,225,000"
"May 17, 2017",15.34,27.49,14.54,21.14,"7,469,700","75,257,100"
"May 16, 2017",15.58,15.76,14.27,15.27,"1,115,020","76,315,800"
"May 15, 2017",17.13,17.42,15.09,15.55,"1,317,300","83,805,300"
"May 14, 2017",18.86,18.86,17.10,17.16,"1,453,890","92,138,000"
"May 13, 2017",15.22,20.19,14.94,18.79,"2,811,300","74,203,300"
"May 12, 2017",15.25,16.32,14.87,15.25,"709,425","74,261,500"
"May 11, 2017",16.54,16.54,15.13,15.34,"831,284","80,420,700"
"May 10, 2017",15.65,16.60,15.10,16.53,"988,746","75,973,900"
"May 09, 2017",17.23,17.81,14.56,15.47,"1,562,010","83,549,800"
"May 08, 2017",17.24,19.20,16.23,17.23,"2,088,860","83,456,300"
"May 07, 2017",17.03,19.29,16.47,17.05,"2,927,270","82,327,700"
"May 06, 2017",15.95,17.02,15.76,17.02,"1,476,430","76,993,500"
"May 05, 2017",15.33,17.25,15.08,15.95,"1,630,340","73,881,300"
"May 04, 2017",14.39,15.67,14.36,15.25,"1,313,140","69,259,600"
"May 03, 2017",13.77,15.29,13.69,14.37,"1,610,890","66,135,900"
"May 02, 2017",14.94,15.98,13.16,13.80,"1,660,500","71,644,400"
"May 01, 2017",15.78,16.04,13.89,15.16,"1,895,940","75,566,600"
"Apr 30, 2017",15.66,16.64,14.95,15.85,"1,326,060","74,906,700"
"Apr 29, 2017",15.33,15.93,14.47,15.65,"960,592","73,202,100"
"Apr 28, 2017",14.55,16.04,13.53,15.28,"1,756,280","69,382,900"
"Apr 27, 2017",16.29,16.54,14.30,14.55,"1,658,670","77,547,500"
"Apr 26, 2017",14.91,17.40,14.91,16.47,"1,997,200","70,895,400"
"Apr 25, 2017",16.44,17.94,15.03,15.21,"2,007,810","77,983,700"
